SchoolYear,leaType,County_Name,lea,DistrictCode,gradeLevel,teacherTotal,studentTotal,population
2021,Charters,New Castle,Academia Antonia Alonso,9605,All Levels,39,612,96044
2021,Charters,New Castle,Charter School of New Castle,80,All Levels,43,762,96044
2021,Charters,New Castle,East Side Charter School,72,All Levels,40,449,96044
2021,Charters,New Castle,Edison (Thomas A.) Charter School,76,All Levels,45,701,96044
2021,Charters,New Castle,First State Montessori Academy,9606,All Levels,31,604,96044
2021,Charters,New Castle,Freire Charter School Wilmington,9612,All Levels,29,501,96044
2021,Charters,New Castle,Gateway Charter School,92,All Levels,21,158,96044
2021,Charters,New Castle,Great Oaks Charter School,9611,All Levels,26,318,96044
2021,Charters,New Castle,Kuumba Academy Charter School,82,All Levels,51,644,96044
2021,Charters,New Castle,MOT Charter School,88,All Levels,81,1383,96044
2021,Charters,New Castle,Newark Charter School,89,All Levels,141,2436,96044
2021,Charters,New Castle,Odyssey Charter School,86,All Levels,147,1926,96044
2021,Charters,Sussex,Sussex Academy,77,All Levels,60,1126,35392
2021,Charters,Sussex,Sussex Montessori School,9614,All Levels,11,260,35392
2021,Districts,Kent,Caesar Rodney School District,10,All Levels,546,7820,32876
2021,Districts,Kent,Capital School District,13,All Levels,511,6182,32876
2021,Districts,Kent,Lake Forest School District,15,All Levels,252,3445,32876
2021,Districts,Kent,Milford School District,18,All Levels,281,4194,32876
2021,Districts,Kent,POLYTECH School District,39,All Levels,86,1182,32876
2021,Districts,Kent,Smyrna School District,24,All Levels,396,5771,32876
2021,Districts,New Castle,Appoquinimink School District,29,All Levels,795,11737,96044
2021,Districts,New Castle,Brandywine School District,31,All Levels,776,10217,96044
2021,Districts,New Castle,Christina School District,33,All Levels,1126,12744,96044
2021,Districts,New Castle,Colonial School District,34,All Levels,688,9630,96044
2021,Districts,New Castle,New Castle County Vocational-Technical School District,38,All Levels,367,4691,96044
2021,Districts,New Castle,Red Clay Consolidated School District,32,All Levels,1168,16322,96044
2021,Districts,Sussex,Cape Henlopen School District,17,All Levels,473,5761,35392
2021,Districts,Sussex,Delmar School District,37,All Levels,73,1375,35392
2021,Districts,Sussex,Indian River School District,36,All Levels,787,10415,35392
2021,Districts,Sussex,Laurel School District,16,All Levels,174,2518,35392
2021,Districts,Sussex,Seaford School District,23,All Levels,235,3243,35392
2021,Districts,Sussex,Sussex Technical School District,40,All Levels,86,1239,35392
2021,Districts,Sussex,Woodbridge School District,35,All Levels,173,2446,35392
2022,Charters,Kent,Academy of Dover Charter School,85,All Levels,28,375,32997
2022,Charters,Kent,Campus Community School,74,All Levels,29,397,32997
2022,Charters,Kent,Early College High School at Del State,9604,All Levels,19,342,32997
2022,Charters,Kent,First State Military Academy,9607,All Levels,27,456,32997
2022,Charters,Kent,Positive Outcomes Charter School,71,All Levels,14,104,32997
2022,Charters,Kent,Providence Creek Academy Charter School,87,All Levels,46,702,32997
2022,Charters,New Castle,ASPIRA Delaware,69,All Levels,81,1225,95977
2022,Charters,New Castle,Academia Antonia Alonso,9605,All Levels,39,613,95977
2022,Charters,New Castle,Charter School of New Castle,80,All Levels,45,761,95977
2022,Charters,New Castle,East Side Charter School,72,All Levels,38,474,95977
2022,Charters,New Castle,Edison (Thomas A.) Charter School,76,All Levels,42,700,95977
